dataset,method,task,seed,nmi,ari,purity,hungarian_accuracy,coverage_of_total_test_unknown,method_detail,clustering_backend,feature_mode,resolved_num_clusters,selected_unknown_cache_size,uncertain_size,uncertain_ratio,cluster_size_min,cluster_size_max,cluster_size_mean,nearest_known_proto_distance_mean,nearest_known_proto_distance_min,unknown_cache_precision,unknown_cache_recall,coverage_of_selected_true_unknown,coverage_of_total_test_unknown,suspected_known_noise_size,num_evaluated_unknown,num_true_unknown_classes,num_predicted_clusters,confidence_threshold,known_classes,unknown_classes,train_sample_count,val_sample_count,test_known_sample_count,test_unknown_sample_count,split_file,output_dir,best_val_acc,best_epoch,training_status
wisig_singleday_osr_k16_u12,OpenRFI,unknown_subdivision,42,0.9810905955570282,0.9676196807960361,0.9909859154929578,0.9622535211267605,0.9244791666666666,openrfi_prototype_grouping,openrfi_prototype_grouping,method_embedding,12,9130,725,0.07552083333333337,405,879,760.8333333333334,0.6895791257586841,0.035027204766641146,0.9720700985761227,0.9244791666666666,1.0,0.9244791666666666,255,8875,12,12,,16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\wisig_singleday_osr_k16_u12\openrfi,0.99921875,0,reused_checkpoint
oracle_kri16_demod,OpenRFI,unknown_subdivision,42,0.931928097386678,0.9099377073237955,0.9829901960784314,0.9301960784313725,0.85,openrfi_world_kplusm_grouping,openrfi_world_kplusm_grouping,full_test_world,16,25644,3600,0.15000000000000002,793,4608,2000.0,0.0,0.0,0.7955077211043519,0.85,1.0,0.85,5244,20400,6,16,0.9966560805154376,10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\oracle_kri16_demod\openrfi,1.0,0,reused_checkpoint
