dataset,method,task,seed,overall_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,known_accuracy,unknown_precision,unknown_recall,known_fpr_as_unknown,unknown_false_accept_rate,auroc,fpr95,oscr
oracle_kri16_demod,HyDRA,open_set_rejection,42,0.5799375,0.7456325882476617,0.8993219696969696,0.7372908921137941,0.6530200902296267,0.943375,0.9609040928527794,0.45879166666666665,0.056,0.5412083333333333,0.862236703125,0.5725,0.8454356067708332
oracle_kri16_demod,HyperRSI,open_set_rejection,42,0.82321875,0.8408815882151448,0.9251856060606062,0.842856894391383,0.8629593559631787,0.93925,0.9778250934773577,0.7845416666666667,0.053375,0.21545833333333334,0.9604886640625001,0.14025,0.9257724348958334
wisig_singleday_osr_k16_u12,HyDRA,open_set_rejection,42,0.8953125,0.9097017444837224,0.9484558823529412,0.8896847103682984,0.9210115914812536,0.952734375,0.9861094899031166,0.88,0.046484375,0.12,0.9274249471028647,0.8125,0.8872313232421873
wisig_singleday_osr_k16_u12,HyperRSI,open_set_rejection,42,0.9907894736842106,0.9993216396937687,0.9588235294117645,0.9776361806405537,0.9904953210500537,0.95625,0.9884678747940692,1.0,0.04375,0.0,0.9984804280598959,0.00703125,0.956217081705729
