dataset,method,task,seed,nmi,ari,purity,hungarian_accuracy,coverage_of_total_test_unknown
oracle_kri16_demod,OpenRFI,unknown_subdivision,42,0.931928097386678,0.9099377073237955,0.9829901960784314,0.9301960784313725,0.85
wisig_singleday_osr_k16_u12,OpenRFI,unknown_subdivision,42,0.9810905955570282,0.9676196807960361,0.9909859154929578,0.9622535211267605,0.9244791666666666
