method,nmi,ari,hungarian_accuracy,coverage_of_total_test_unknown
K-means,0.852434,0.832207,0.921844,0.967083
HDBSCAN,0.684820,0.425885,0.487485,0.699167
OpenRFI,0.931928,0.909938,0.930196,0.850000
PCBM (ours),0.991948,0.993851,0.997400,0.945583
