160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,148,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10
0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,155,0,0,0,0,0,1,0,4
0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0
1,124,703,1,0,0,11,800,0,0,443,0,0,1,96,1586,5834

