159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400
