dataset,protocol,rx_mode,known_classes,unknown_classes,overall_accuracy,known_accuracy,macro_f1,auroc,fpr95,unknown_recall,unknown_precision
WiSig,singleday_fixed_rx,fixed,16,12,0.9873355263157895,0.988671875,0.9776044248649607,0.998413614908854,0.0015625,0.9869791666666666,0.9969486531986532
Oracle,oracle_sigmf,n/a,10,6,0.91890625,0.921,0.8785179968710775,0.9552554218749999,0.143875,0.9182083333333333,0.9813849922066354
