真实未知类,细分类_0,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5
17,0,62,0,11,3644,0
18,76,0,3622,0,0,0
19,3813,0,78,27,0,80
25,0,3659,0,0,250,0
26,0,0,0,3352,0,537
32,24,0,0,669,0,3306
