真实未知类,细分类_-1,细分类_1,细分类_3,细分类_4,细分类_6,细分类_7,细分类_8
17,1957,0,0,0,1760,0,0
18,61,0,0,3637,0,0,0
19,350,0,0,0,0,3648,0
25,1181,0,0,0,0,0,2728
26,21,3860,7,0,0,0,0
32,24,0,3975,0,0,0,0
