真实未知类,细分类_-1,细分类_0,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5
17,167,0,3550,0,0,0,0
18,151,0,0,0,3470,0,77
19,122,0,0,0,0,0,3876
25,3,0,2,0,0,3904,0
26,13,3863,1,9,0,0,2
32,9,0,0,3984,0,0,6
