真实未知类,细分类_-1,细分类_0,细分类_1,细分类_2,细分类_4,细分类_5,细分类_6
17,381,0,0,2941,0,0,460
18,116,0,0,0,3443,0,0
19,1,0,3996,0,1,0,0
25,0,0,0,0,0,0,3952
26,10,3857,0,0,0,8,0
32,22,0,0,0,0,3976,0
