真实未知类,细分类_-1,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5,细分类_7
17,1952,0,1765,0,0,0,0
18,486,0,0,0,3212,0,0
19,507,0,0,0,0,0,3491
25,12,0,0,0,0,3897,0
26,57,3827,0,4,0,0,0
32,48,0,0,3951,0,0,0
