dataset,method,task,seed,nmi,ari,purity,hungarian_accuracy,coverage_of_total_test_unknown,method_detail,clustering_backend,feature_mode,resolved_num_clusters,selected_unknown_cache_size,uncertain_size,uncertain_ratio,cluster_size_min,cluster_size_max,cluster_size_mean,nearest_known_proto_distance_mean,nearest_known_proto_distance_min,unknown_cache_precision,unknown_cache_recall,coverage_of_selected_true_unknown,coverage_of_total_test_unknown,suspected_known_noise_size,num_evaluated_unknown,num_true_unknown_classes,num_predicted_clusters,known_classes,unknown_classes,train_sample_count,val_sample_count,test_known_sample_count,test_unknown_sample_count,split_file,output_dir,best_val_acc,best_epoch,training_status
wisig_singleday_osr_k16_u12,Softmax,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.0,embedding_gmm,embedding_gmm,method_embedding,12,16,24,1.0,1,3,1.3333333333333333,0.11969593736213952,0.09328166292767401,0.0,0.0,0.0,0.0,16,0,12,12,16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\softmax,0.09114583333333333,1,trained
wisig_singleday_osr_k16_u12,OpenMax,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.08333333333333333,embedding_gmm,embedding_gmm,method_embedding,12,22,22,0.9166666666666666,1,4,1.8333333333333333,0.13816145913880334,0.0995661537656001,0.09090909090909091,0.08333333333333333,1.0,0.08333333333333333,20,2,12,12,16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\openmax,0.078125,1,trained
wisig_singleday_osr_k16_u12,HyperRSI,unknown_subdivision,42,0.8397450512354042,0.5686556434219986,0.875,0.75,0.6666666666666666,embedding_gmm,embedding_gmm,method_embedding,12,34,8,0.33333333333333337,1,6,2.8333333333333335,0.07603822958158067,0.06822399705639506,0.47058823529411764,0.6666666666666666,1.0,0.6666666666666666,18,16,12,12,16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\hyperrsi,0.125,1,trained
wisig_singleday_osr_k16_u12,HyDRA,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.16666666666666666,embedding_gmm,embedding_gmm,method_embedding,12,28,20,0.8333333333333334,1,6,2.3333333333333335,0.06909349007168344,0.040571281734812364,0.14285714285714285,0.16666666666666666,1.0,0.16666666666666666,24,4,12,12,16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\hydra,0.0625,1,trained
wisig_singleday_osr_k16_u12,OpenRFI,unknown_subdivision,42,0.6666666666666666,-0.2,0.75,0.75,0.16666666666666666,openrfi_prototype_grouping,openrfi_prototype_grouping,method_embedding,12,30,20,0.8333333333333334,1,9,2.5,0.7312363443912687,0.634289533412318,0.13333333333333333,0.16666666666666666,1.0,0.16666666666666666,26,4,12,12,16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\openrfi,0.06510416666666667,1,trained
oracle_kri16_demod,Softmax,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.0,embedding_gmm,embedding_gmm,method_embedding,6,15,24,1.0,1,6,2.5,0.05265120695999703,0.042502594418689275,0.0,0.0,0.0,0.0,15,0,6,6,10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\softmax,0.09583333333333334,1,trained
oracle_kri16_demod,OpenMax,unknown_subdivision,42,1.0,1.0,1.0,1.0,0.08333333333333333,embedding_gmm,embedding_gmm,method_embedding,6,11,22,0.9166666666666666,1,3,1.8333333333333333,0.05738455742590925,0.05267937325477344,0.18181818181818182,0.08333333333333333,1.0,0.08333333333333333,9,2,6,6,10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\openmax,0.09583333333333334,1,trained
oracle_kri16_demod,HyperRSI,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.0,embedding_gmm,embedding_gmm,method_embedding,6,14,24,1.0,1,3,2.3333333333333335,0.03130037632186065,0.02898722246720975,0.0,0.0,0.0,0.0,14,0,6,6,10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\hyperrsi,0.1,1,trained
oracle_kri16_demod,HyDRA,unknown_subdivision,42,0.7336804366512112,0.0,1.0,0.6666666666666666,0.125,embedding_gmm,embedding_gmm,method_embedding,6,17,21,0.875,1,4,2.8333333333333335,0.029040537400488026,0.02021070653543927,0.17647058823529413,0.125,1.0,0.125,14,3,6,6,10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\hydra,0.1,1,trained
oracle_kri16_demod,OpenRFI,unknown_subdivision,42,1.0,1.0,1.0,1.0,0.08333333333333333,openrfi_prototype_grouping,openrfi_prototype_grouping,method_embedding,6,30,22,0.9166666666666666,1,15,5.0,0.7459510197842131,0.6194953544491789,0.06666666666666667,0.08333333333333333,1.0,0.08333333333333333,28,2,6,6,10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\openrfi,0.1,1,trained
