dataset,method,task,seed,overall_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,known_accuracy,unknown_precision,unknown_recall,known_fpr_as_unknown,unknown_false_accept_rate,auroc,fpr95,oscr
oracle_kri16_demod,HyDRA,open_set_rejection,42,0.09848484848484848,0.024507999740197885,0.0984848484848485,0.02873483280287348,0.02873483280287348,0.09583333333333334,0.17647058823529413,0.125,0.058333333333333334,0.875,0.5440972222222222,0.9833333333333333,0.05303819444444444
oracle_kri16_demod,HyperRSI,open_set_rejection,42,0.10606060606060606,0.11855784367148003,0.10606060606060605,0.10669534336671548,0.10669534336671548,0.09166666666666666,0.3333333333333333,0.25,0.05,0.75,0.6434027777777777,0.9416666666666667,0.05954861111111111
wisig_singleday_osr_k16_u12,HyDRA,open_set_rejection,42,0.06862745098039216,0.012118531623175586,0.06862745098039216,0.01603870794319251,0.01603870794319251,0.0625,0.14285714285714285,0.16666666666666666,0.0625,0.8333333333333334,0.6199544270833333,0.7708333333333334,0.057291666666666664
wisig_singleday_osr_k16_u12,HyperRSI,open_set_rejection,42,0.8431372549019608,0.8534729449533248,0.8431372549019607,0.8463191857305237,0.8463191857305237,0.8697916666666666,0.3225806451612903,0.4166666666666667,0.0546875,0.5833333333333334,0.8375651041666666,0.7057291666666666,0.7571614583333333
