真实未知类,细分类_-1,细分类_0,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5
17,493,0,0,2772,0,0,452
18,64,0,3634,0,0,0,0
19,380,0,0,0,3618,0,0
25,0,0,0,0,0,0,3909
26,1562,1838,0,0,0,488,0
32,17,0,0,0,0,3982,0
