真实未知类,细分类_0,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5
17,713,0,0,0,3004,0
18,3,0,3695,0,0,0
19,0,4,2,3992,0,0
25,2,0,0,0,0,3907
26,9,3880,0,0,0,0
32,0,3999,0,0,0,0
